CategoryID	ChannelID	ViewCount	CountryCode	Title
10	UCsuNF5l7GRF4RboY13z5r2w	18500816	NG	Cali Y El Dandee - La Estrategia
10	UCwppdrjsBPAZg5_cUwQjfMQ	1346774498	NG	Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]
10	UC0C-w0YjGpqDXGB8IHb662A	182759615	NG	Ed Sheeran - Galway Girl [Official Video]
10	UCXYRdIXDdeZIf816EWAr5zQ	28719675	NG	MACKLEMORE FEAT SKYLAR GREY - GLORIOUS (OFFICIAL MUSIC VIDEO)
10	UCRzzwLpLiUNIs6YOPe33eMg	595723462	NG	The Chainsmokers & Coldplay - Something Just Like This (Lyric)
24	UCEdvpU2pFRCVqU6yIPyTpMQ	514781741	NG	Marshmello - Alone (Official Music Video)
10	UChcn-n6L8vYHzsqOwOubdRQ	32031365	NG	Carlos Vives, Sebastian Yatra - Robarte un Beso (Official Video)
10	UCC6sWkXNQqyS2r6u6xQ_GdQ	163511936	NG	Jonas Blue - Mama ft. William Singe
10	UCFzm6oAGFmmZfkrzQ5wATSQ	47633656	NG	Zedd, Alessia Cara - Stay (Official Music Video)
24	UCT2X19JJaJGUN7mrYuImANQ	21073870	NG	Demian Aditya: Escape Artist Risks His Life During AGT Audition - America's Got Talent 2017
10	UCrHL_BF5lHyK43BxLU8-vBQ	334985534	NG	J. Balvin, Willy William - Mi Gente (Official Video)
10	UC0C-w0YjGpqDXGB8IHb662A	163490943	NG	Ed Sheeran - Perfect [Official Audio]
17	UCRijo3ddMTht_IHyNSNXpNQ	11450366	NG	Nerf Slip and Slide Battle | Dude Perfect
10	UCANLZYMidaCbLQFWXBC95Jg	740190190	NG	Taylor Swift - You Belong With Me
17	UCRijo3ddMTht_IHyNSNXpNQ	23682170	NG	Card Throwing Trick Shots | Dude Perfect
17	UCRijo3ddMTht_IHyNSNXpNQ	56729516	NG	Pickup Basketball Stereotypes
24	UCWOA1ZGywLbqmigxE4Qlvuw	9112497	NG	Stranger Things | Season 2 Comic Con "Thriller" Trailer [HD] | Netflix
10	UC0C-w0YjGpqDXGB8IHb662A	210480343	NG	Ed Sheeran - Castle On The Hill [Official Video]
10	UCVp3nfGRxmMadNDuVbJSk8A	3012444576	NG	Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack
10	UCEf_Bc-KVd7onSeifS3py9g	39306155	NG	EXO_Ko Ko Bop_Music Video
17	UCRijo3ddMTht_IHyNSNXpNQ	32691741	NG	Giant Warship Battle | Dude Perfect
17	UCRijo3ddMTht_IHyNSNXpNQ	32074145	NG	Golf Stereotypes
24	UCT2X19JJaJGUN7mrYuImANQ	8485262	NG	Johnny Manuel: Guy Covers Whitney Houston's "I Have Nothing" - America's Got Talent 2017
24	UCT2X19JJaJGUN7mrYuImANQ	30303840	NG	Darci Lynne: 12-Year-Old Singing Ventriloquist Gets Golden Buzzer - America's Got Talent 2017
23	UCa6vGFO9ty8v5KZJXQxdhaw	45335352	NG	Celebrities Read Mean Tweets #5
10	UC0C-w0YjGpqDXGB8IHb662A	697109635	NG	Ed Sheeran - Shape Of You [Official Lyric Video]
10	UC20vb-R_px4CguHzzBPhoyQ	1004573158	NG	Eminem - Not Afraid
10	UC6MfFxrAK-e4HcgJROvDJDg	338550274	NG	Zara Larsson, MNEK - Never Forget You
24	UCT2X19JJaJGUN7mrYuImANQ	20756594	NG	Mandy Harvey: Deaf Singer Earns Simon's Golden Buzzer With Original Song - America's Got Talent 2017
10	UCoUM-UJ7rirJYP8CQ0EIaHA	813021624	NG	Bruno Mars - That’s What I Like [Official Video]
24	UCvC4D8onUfXzvjTOM-dBfEA	42514585	NG	Thor: Ragnarok Teaser Trailer [HD]
24	UCT2X19JJaJGUN7mrYuImANQ	28189124	NG	Celine Tam: 9-Year-Old Stuns Crowd with "My Heart Will Go On" - America's Got Talent 2017
10	UC20vb-R_px4CguHzzBPhoyQ	1367234621	NG	Eminem - Love The Way You Lie ft. Rihanna
10	UC20vb-R_px4CguHzzBPhoyQ	452667225	NG	Eminem - Without Me
10	UCgwv23FVv3lqh567yagXfNg	30825026	NG	It's Goin' Down (From "Descendants 2")
17	UCRijo3ddMTht_IHyNSNXpNQ	24924465	NG	DPHQ2 Tour | Dude Perfect
23	UCxSz6JVYmzVhtkraHWZC7HQ	5213363	NG	MEETING MY STYLIST!! NAKED WITH CARLOS!
10	UC9HnKwLco0wfmmHJT4KOjJw	28891144	NG	Kesha - Praying (Official Video)
10	UCLp8RBhQHu9wSsq62j_Md6A	139809695	NG	Luis Fonsi, Juan Luis Guerra - Llegaste Tú
10	UC0C-w0YjGpqDXGB8IHb662A	2034958156	NG	Ed Sheeran - Shape of You [Official Video]
10	UCpx_k19S2vUutWUUM9qmXEg	106643416	NG	Imagine Dragons - Thunder
10	UCcN-NDV03eHs6oLd1pe2r8w	95833305	NG	Khalid - Location
